가격적,,,,MM,*,T,추가-가격적,*,*,*,*
가계적,,,,MM,*,T,추가-가계적,*,*,*,*
가공적,,,,MM,*,T,추가-가공적,*,*,*,*
가교적,,,,MM,*,T,추가-가교적,*,*,*,*
가능적,,,,MM,*,T,추가-가능적,*,*,*,*
가동적,,,,MM,*,T,추가-가동적,*,*,*,*
가면적,,,,MM,*,T,추가-가면적,*,*,*,*
가모장적,,,,MM,*,T,추가-가모장적,*,*,*,*
가무적,,,,MM,*,T,추가-가무적,*,*,*,*
가변적,,,,MM,*,T,추가-가변적,*,*,*,*
가부장적,,,,MM,*,T,추가-가부장적,*,*,*,*
가부장제적,,,,MM,*,T,추가-가부장제적,*,*,*,*
가분적,,,,MM,*,T,추가-가분적,*,*,*,*
가산적,,,,MM,*,T,추가-가산적,*,*,*,*
가설적,,,,MM,*,T,추가-가설적,*,*,*,*
가속적,,,,MM,*,T,추가-가속적,*,*,*,*
가속도적,,,,MM,*,T,추가-가속도적,*,*,*,*
가시적,,,,MM,*,T,추가-가시적,*,*,*,*
가식적,,,,MM,*,T,추가-가식적,*,*,*,*
가언적,,,,MM,*,T,추가-가언적,*,*,*,*
가정적,,,,MM,*,T,추가-가정적,*,*,*,*
가족적,,,,MM,*,T,추가-가족적,*,*,*,*
가족주의적,,,,MM,*,T,추가-가족주의적,*,*,*,*
가축적,,,,MM,*,T,추가-가축적,*,*,*,*
가치적,,,,MM,*,T,추가-가치적,*,*,*,*
가치론적,,,,MM,*,T,추가-가치론적,*,*,*,*
가톨릭적,,,,MM,*,T,추가-가톨릭적,*,*,*,*
가학적,,,,MM,*,T,추가-가학적,*,*,*,*
각론적,,,,MM,*,T,추가-각론적,*,*,*,*
간대옛,,,,MM,*,T,추가-간대옛,*,*,*,*
간략적,,,,MM,*,T,추가-간략적,*,*,*,*
간섭적,,,,MM,*,T,추가-간섭적,*,*,*,*
간섭주의적,,,,MM,*,T,추가-간섭주의적,*,*,*,*
간접적,,,,MM,*,T,추가-간접적,*,*,*,*
간주관적,,,,MM,*,T,추가-간주관적,*,*,*,*
간헐적,,,,MM,*,T,추가-간헐적,*,*,*,*
갈등적,,,,MM,*,T,추가-갈등적,*,*,*,*
갈등론적,,,,MM,*,T,추가-갈등론적,*,*,*,*
감각적,,,,MM,*,T,추가-감각적,*,*,*,*
감격적,,,,MM,*,T,추가-감격적,*,*,*,*
감동적,,,,MM,*,T,추가-감동적,*,*,*,*
감명적,,,,MM,*,T,추가-감명적,*,*,*,*
감상적,,,,MM,*,T,추가-감상적,*,*,*,*
감상주의적,,,,MM,*,T,추가-감상주의적,*,*,*,*
감상주의적,,,,MM,*,T,추가-감상주의적,*,*,*,*
감성적,,,,MM,*,T,추가-감성적,*,*,*,*
감압술적,,,,MM,*,T,추가-감압술적,*,*,*,*
감응적,,,,MM,*,T,추가-감응적,*,*,*,*
감정적,,,,MM,*,T,추가-감정적,*,*,*,*
감초적,,,,MM,*,T,추가-감초적,*,*,*,*
갓난,,,,MM,*,T,추가-갓난,*,*,*,*
강간적,,,,MM,*,T,추가-강간적,*,*,*,*
강경론적,,,,MM,*,T,추가-강경론적,*,*,*,*
강박적,,,,MM,*,T,추가-강박적,*,*,*,*
강압적,,,,MM,*,T,추가-강압적,*,*,*,*
강제적,,,,MM,*,T,추가-강제적,*,*,*,*
강탈적,,,,MM,*,T,추가-강탈적,*,*,*,*
갖은,,,,MM,*,T,추가-갖은,*,*,*,*
갖인,,,,MM,*,T,추가-갖인,*,*,*,*
개관적,,,,MM,*,T,추가-개관적,*,*,*,*
개괄적,,,,MM,*,T,추가-개괄적,*,*,*,*
개념적,,,,MM,*,T,추가-개념적,*,*,*,*
개념주의적,,,,MM,*,T,추가-개념주의적,*,*,*,*
개략적,,,,MM,*,T,추가-개략적,*,*,*,*
개량적,,,,MM,*,T,추가-개량적,*,*,*,*
개량주의적,,,,MM,*,T,추가-개량주의적,*,*,*,*
개발적,,,,MM,*,T,추가-개발적,*,*,*,*
개발론적,,,,MM,*,T,추가-개발론적,*,*,*,*
개발주의적,,,,MM,*,T,추가-개발주의적,*,*,*,*
개방적,,,,MM,*,T,추가-개방적,*,*,*,*
개방주의적,,,,MM,*,T,추가-개방주의적,*,*,*,*
개별적,,,,MM,*,T,추가-개별적,*,*,*,*
개선적,,,,MM,*,T,추가-개선적,*,*,*,*
개설적,,,,MM,*,T,추가-개설적,*,*,*,*
개성적,,,,MM,*,T,추가-개성적,*,*,*,*
개신교적,,,,MM,*,T,추가-개신교적,*,*,*,*
개악적,,,,MM,*,T,추가-개악적,*,*,*,*
개연적,,,,MM,*,T,추가-개연적,*,*,*,*
개인적,,,,MM,*,T,추가-개인적,*,*,*,*
개인주의적,,,,MM,*,T,추가-개인주의적,*,*,*,*
개입적,,,,MM,*,T,추가-개입적,*,*,*,*
개조적,,,,MM,*,T,추가-개조적,*,*,*,*
개체적,,,,MM,*,T,추가-개체적,*,*,*,*
개혁적,,,,MM,*,T,추가-개혁적,*,*,*,*
개혁주의적,,,,MM,*,T,추가-개혁주의적,*,*,*,*
객관적,,,,MM,*,T,추가-객관적,*,*,*,*
객관적,,,,MM,*,T,추가-객관적,*,*,*,*
객관주의적,,,,MM,*,T,추가-객관주의적,*,*,*,*
객체적,,,,MM,*,T,추가-객체적,*,*,*,*
객체적,,,,MM,*,T,추가-객체적,*,*,*,*
거까튼,,,,MM,*,T,추가-거까튼,*,*,*,*
거국적,,,,MM,*,T,추가-거국적,*,*,*,*
거당적,,,,MM,*,T,추가-거당적,*,*,*,*
거도적,,,,MM,*,T,추가-거도적,*,*,*,*
거부적,,,,MM,*,T,추가-거부적,*,*,*,*
거시적,,,,MM,*,T,추가-거시적,*,*,*,*
거인적,,,,MM,*,T,추가-거인적,*,*,*,*
거점적,,,,MM,*,T,추가-거점적,*,*,*,*
거족적,,,,MM,*,T,추가-거족적,*,*,*,*
건강적,,,,MM,*,T,추가-건강적,*,*,*,*
건덕적,,,,MM,*,T,추가-건덕적,*,*,*,*
건설적,,,,MM,*,T,추가-건설적,*,*,*,*
